appid,discount,initial_price,price
941,0,0,"0,00"
3642,0,0,"0,00"
940,0,0,"0,00"
586,0,0,"0,00"
3640,0,0,"0,00"
939,0,0,"0,00"
585,0,0,"0,00"
3632,0,0,"0,00"
938,0,0,"0,00"
584,0,0,"0,00"
20,0,"4,99","4,99"
3630,0,"4,99","4,99"
937,0,0,"0,00"
583,0,0,"0,00"
3629,0,0,"0,00"
936,0,0,"0,00"
582,0,0,"0,00"
3622,0,0,"0,00"
935,0,0,"0,00"
581,0,0,"0,00"
3620,0,"4,99","4,99"
934,0,0,"0,00"
576,0,0,"0,00"
3612,0,0,"0,00"
933,0,0,"0,00"
575,0,0,"0,00"
3610,0,"4,99","4,99"
932,0,0,"0,00"
570,0,0,"0,00"
3602,0,0,"0,00"
931,0,0,"0,00"
565,0,0,"0,00"
3600,0,"4,99","4,99"
930,0,0,"0,00"
564,0,0,"0,00"
3599,0,0,"0,00"
929,0,0,"0,00"
563,0,0,"0,00"
3592,0,0,"0,00"
928,0,0,"0,00"
560,0,0,"0,00"
3590,0,"4,99","4,99"
927,0,0,"0,00"
550,0,"9,99","9,99"
3582,0,0,"0,00"
926,0,0,"0,00"
540,0,0,"0,00"
3580,0,"4,99","4,99"
925,0,0,"0,00"
530,0,0,"0,00"
3572,0,0,"0,00"
924,0,0,"0,00"
520,0,0,"0,00"
3570,0,"4,99","4,99"
923,0,0,"0,00"
513,0,0,"0,00"
3562,0,0,"0,00"
922,0,0,"0,00"
510,0,0,"0,00"
3560,0,"4,99","4,99"
921,0,0,"0,00"
500,0,"9,99","9,99"
3542,0,0,"0,00"
920,0,0,"0,00"
480,0,0,"0,00"
3540,0,"4,99","4,99"
919,0,0,"0,00"
459,0,0,"0,00"
3532,0,0,"0,00"
918,0,0,"0,00"
458,0,0,"0,00"
3530,0,"4,99","4,99"
917,0,0,"0,00"
3522,0,0,"0,00"
916,0,0,"0,00"
3520,0,"4,99","4,99"
915,0,0,"0,00"
456,0,0,"0,00"
3512,0,0,"0,00"
914,0,0,"0,00"
440,0,0,"0,00"
3510,0,"4,99","4,99"
913,0,0,"0,00"
420,0,"19,99","19,99"
3502,0,0,"0,00"
912,0,0,"0,00"
410,0,0,"0,00"
3500,0,"4,99","4,99"
909,0,0,"0,00"
400,0,"9,99","9,99"
3492,0,0,"0,00"
908,0,0,"0,00"
380,0,"19,99","19,99"
3490,0,0,"0,00"
907,0,0,"0,00"
364,0,0,"0,00"
40,0,"4,99","4,99"
3483,0,0,"0,00"
906,0,0,"0,00"
360,0,"9,99","9,99"
30,0,"4,99","4,99"
3482,0,0,"0,00"
905,0,0,"0,00"
340,0,"19,99","19,99"
3480,0,"4,99","4,99"
904,0,0,"0,00"
320,0,"19,99","19,99"
3472,0,0,"0,00"
903,0,0,"0,00"
310,0,0,"0,00"
3470,0,"4,99","4,99"
902,0,0,"0,00"
304,0,0,"0,00"
3462,0,0,"0,00"
901,0,0,"0,00"
300,0,"9,99","9,99"
3460,0,"4,99","4,99"
900,0,0,"0,00"
280,0,"9,99","9,99"
3452,0,0,"0,00"
854,0,0,"0,00"
260,0,0,"0,00"
3450,0,"4,99","4,99"
852,0,0,"0,00"
240,0,"9,99","9,99"
3442,0,0,"0,00"
767,0,0,"0,00"
220,0,"9,99","9,99"
3432,0,0,"0,00"
765,0,0,"0,00"
219,0,0,"0,00"
3430,0,"4,99","4,99"
764,0,0,"0,00"
218,0,0,"0,00"
3422,0,0,"0,00"
761,0,0,"0,00"
457,0,0,"0,00"
3420,0,"4,99","4,99"
760,0,0,"0,00"
3412,0,0,"0,00"
756,0,0,"0,00"
3410,0,"4,99","4,99"
755,0,0,"0,00"
3402,0,0,"0,00"
754,0,0,"0,00"
3400,0,0,"0,00"
753,0,0,"0,00"
3392,0,0,"0,00"
745,0,0,"0,00"
3390,0,"4,99","4,99"
740,0,0,"0,00"
3382,0,0,"0,00"
730,0,0,"0,00"
3380,0,"4,99","4,99"
669,0,0,"0,00"
3372,0,0,"0,00"
660,0,0,"0,00"
3370,0,"4,99","4,99"
659,0,"9,99","9,99"
3362,0,0,"0,00"
654,0,0,"0,00"
3360,0,"4,99","4,99"
653,0,0,"0,00"
215,0,0,"0,00"
3352,0,0,"0,00"
652,0,0,"0,00"
3350,0,"4,99","4,99"
651,0,0,"0,00"
3342,0,0,"0,00"
650,0,0,"0,00"
3340,0,"4,99","4,99"
644,0,0,"0,00"
50,0,"4,99","4,99"
3332,0,0,"0,00"
640,0,0,"0,00"
3330,0,"4,99","4,99"
635,0,0,"0,00"
3322,0,0,"0,00"
630,0,0,"0,00"
3320,0,"4,99","4,99"
629,0,0,"0,00"
3312,0,0,"0,00"
620,0,"9,99","9,99"
3310,0,"4,99","4,99"
2510,0,0,"0,00"
1255,0,0,"0,00"
70,0,"9,99","9,99"
3302,0,0,"0,00"
2505,0,0,"0,00"
1250,0,"19,99","19,99"
3300,0,"4,99","4,99"
2500,0,"6,99","6,99"
1240,0,0,"0,00"
