appid,discount,price
540,0,0
644,0,0
764,0,0
915,0,0
530,0,0
933,0,0
219,0,0
951,0,0
640,0,0
92,0,0
520,0,0
761,0,0
914,0,0
80,0,999
10,0,999
932,0,0
950,0,0
513,0,0
635,0,0
40,0,499
969,0,0
760,0,0
913,0,0
210,0,0
510,0,0
931,0,0
949,0,0
20,0,499
630,0,0
968,0,0
756,0,0
500,0,999
912,0,0
930,0,0
948,0,0
220,0,999
629,0,0
480,0,0
967,0,0
7,0,0
755,0,0
909,0,0
929,0,0
459,0,0
947,0,0
100,0,999
70,0,999
620,0,999
966,0,0
754,0,0
218,0,0
908,0,0
458,0,0
928,0,0
946,0,0
590,0,0
965,0,0
457,0,0
753,0,0
907,0,0
927,0,0
211,0,0
945,0,0
456,0,0
586,0,0
964,0,0
745,0,0
60,0,499
906,0,0
440,0,0
926,0,0
205,0,0
944,0,0
585,0,0
8,0,0
963,0,0
740,0,0
420,0,1999
905,0,0
925,0,0
943,0,0
584,0,0
410,0,0
730,0,0
904,0,0
50,0,499
924,0,0
400,0,999
942,0,0
953,0,0
583,0,0
961,0,0
669,0,0
5,0,0
215,0,0
903,0,0
380,0,1999
923,0,0
582,0,0
941,0,0
960,0,0
364,0,0
660,0,0
902,0,0
581,0,0
922,0,0
940,0,0
360,0,999
959,0,0
576,0,0
659,0,999
901,0,0
340,0,1999
921,0,0
939,0,0
575,0,0
150,0,0
958,0,0
654,0,0
320,0,1999
900,0,0
570,0,0
920,0,0
938,0,0
310,0,0
934,0,0
130,0,499
957,0,0
653,0,0
565,0,0
854,0,0
304,0,0
919,0,0
937,0,0
30,0,499
564,0,0
90,0,0
956,0,0
652,0,0
300,0,999
852,0,0
918,0,0
563,0,0
936,0,0
280,0,999
955,0,0
651,0,0
767,0,0
560,0,0
917,0,0
935,0,0
260,0,0
954,0,0
550,0,999
650,0,0
765,0,0
240,0,999
916,0,0
962,0,0
970,0,0
973,0,0
974,0,0
983,0,0
976,0,0
971,0,0
984,0,0
979,0,0
981,0,0
986,0,0
980,0,0
985,0,0
975,0,0
982,0,0
972,0,0
987,0,0
978,0,0
977,0,0
988,0,0
990,0,0
989,0,0
991,0,0
1002,0,99
1003,0,0
992,0,0
994,0,0
998,0,0
1001,0,0
995,0,0
1230,0,0
997,0,0
1007,0,0
1220,0,0
1210,0,0
1213,0,0
996,0,0
1200,0,499
1250,0,1999
1256,0,799
999,0,0
1255,0,0
1257,0,799
1259,0,0
1280,0,0
1260,0,0
1270,0,0
1273,0,0
1240,0,0
1290,0,0
1306,0,0
1300,0,999
1502,0,0
1317,0,0
1500,0,1199
1504,0,0
1313,0,999
1510,0,1199
1507,0,0
1522,0,0
1520,0,1199
1525,0,0
1523,0,0
1320,0,0
1530,0,1199
1528,0,0
1532,0,0
1610,80,199
1600,0,1499
1535,0,0
1630,80,119
1640,80,119
1540,0,0
1620,0,1999
1645,0,0
1635,0,0
1700,0,499
1690,80,399
1840,0,0
1710,0,0
1900,0,999
1920,0,0
1930,0,1499
2100,0,999
2110,0,0
2115,0,0
1670,80,119
2120,0,0
2200,0,1499
2114,0,0
2130,0,999
2270,0,499
2280,0,999
2150,0,0
2145,0,0
2310,0,999
2320,0,999
2403,0,0
2410,0,0
2350,0,1499
2400,0,999
2413,0,0
2420,0,999
2430,0,0
2210,0,1499
2505,0,0
2520,0,499
2525,50,249
2500,0,699
2460,0,0
2530,0,0
2540,0,499
2545,0,499
2550,0,499
2590,0,499
2600,0,1999
2610,0,1999
2635,0,0
2620,50,999
2630,0,1999
2625,0,0
2450,0,499
2510,0,0
2680,0,0
2690,0,0
2720,0,499
2640,0,1999
2645,0,0
2710,0,299
2700,0,0
2724,0,0
2725,0,0
2726,0,0
2730,0,0
2740,0,0
2767,0,0
2810,0,999
2790,0,0
2770,0,0
2800,0,499
2820,0,1599
2827,0,0
2870,0,2999
2850,0,499
2826,0,0
2900,80,379
2840,0,499
2860,0,0
2920,80,379
2930,0,0
2950,0,0
2990,0,999
2760,0,0
2768,0,0
3000,0,499
3020,0,999
3010,0,499
3030,0,0
3050,0,499
3040,0,0
3130,0,499
3150,0,0
2910,80,379
3170,0,999
3190,0,0
3200,75,249
3160,0,0
3205,0,0
3210,0,0
3230,0,499
3260,0,499
3270,0,499
3273,0,0
3280,0,0
3302,0,0
3300,0,499
3312,0,0
3320,0,499
3322,0,0
3310,0,499
3340,0,499
3330,0,499
3350,0,499
3342,0,0
3352,0,0
3332,0,0
3360,0,499
3362,0,0
3220,0,0
3370,0,499
3372,0,0
3380,0,499
3390,0,499
3382,0,0
3402,0,0
3392,0,0
3400,0,0
