appid,discount,price
941,0,0
3642,0,0
940,0,0
586,0,0
3640,0,0
939,0,0
585,0,0
3632,0,0
938,0,0
584,0,0
20,0,499
3630,0,499
937,0,0
583,0,0
3629,0,0
936,0,0
582,0,0
3622,0,0
935,0,0
581,0,0
3620,0,499
934,0,0
576,0,0
3612,0,0
933,0,0
575,0,0
3610,0,499
932,0,0
570,0,0
3602,0,0
931,0,0
565,0,0
3600,0,499
930,0,0
564,0,0
3599,0,0
929,0,0
563,0,0
3592,0,0
928,0,0
560,0,0
3590,0,499
927,0,0
550,0,999
3582,0,0
926,0,0
540,0,0
3580,0,499
925,0,0
530,0,0
3572,0,0
924,0,0
520,0,0
3570,0,499
923,0,0
513,0,0
3562,0,0
922,0,0
510,0,0
3560,0,499
921,0,0
500,0,999
3542,0,0
920,0,0
480,0,0
3540,0,499
919,0,0
459,0,0
3532,0,0
918,0,0
458,0,0
3530,0,499
917,0,0
3522,0,0
916,0,0
3520,0,499
915,0,0
456,0,0
3512,0,0
914,0,0
440,0,0
3510,0,499
913,0,0
420,0,1999
3502,0,0
912,0,0
410,0,0
3500,0,499
909,0,0
400,0,999
3492,0,0
908,0,0
380,0,1999
3490,0,0
907,0,0
364,0,0
40,0,499
3483,0,0
906,0,0
360,0,999
30,0,499
3482,0,0
905,0,0
340,0,1999
3480,0,499
904,0,0
320,0,1999
3472,0,0
903,0,0
310,0,0
3470,0,499
902,0,0
304,0,0
3462,0,0
901,0,0
300,0,999
3460,0,499
900,0,0
280,0,999
3452,0,0
854,0,0
260,0,0
3450,0,499
852,0,0
240,0,999
3442,0,0
767,0,0
220,0,999
3432,0,0
765,0,0
219,0,0
3430,0,499
764,0,0
218,0,0
3422,0,0
761,0,0
457,0,0
3420,0,499
760,0,0
3412,0,0
756,0,0
3410,0,499
755,0,0
3402,0,0
754,0,0
3400,0,0
753,0,0
3392,0,0
745,0,0
3390,0,499
740,0,0
3382,0,0
730,0,0
3380,0,499
669,0,0
3372,0,0
660,0,0
3370,0,499
659,0,999
3362,0,0
654,0,0
3360,0,499
653,0,0
215,0,0
3352,0,0
652,0,0
3350,0,499
651,0,0
3342,0,0
650,0,0
3340,0,499
644,0,0
50,0,499
3332,0,0
640,0,0
3330,0,499
635,0,0
3322,0,0
630,0,0
3320,0,499
629,0,0
3312,0,0
620,0,999
3310,0,499
2510,0,0
1255,0,0
70,0,999
3302,0,0
2505,0,0
1250,0,1999
3300,0,499
2500,0,699
1240,0,0
3280,0,0
2460,0,0
1230,0,0
3273,0,0
2450,0,499
1220,0,0
211,0,0
3270,0,499
2430,0,0
1213,0,0
3260,0,499
2420,0,999
1210,0,0
3230,0,499
2413,0,0
1200,0,499
3220,0,0
2410,0,0
1007,0,0
3210,0,0
2403,0,0
1003,0,0
3205,0,0
2400,0,999
1002,0,99
3200,75,249
2350,0,1499
1001,0,0
100,0,999
3190,0,0
2320,0,999
999,0,0
3170,0,999
2310,0,999
998,0,0
210,0,0
3160,0,0
2280,0,999
997,0,0
3150,0,0
2270,0,499
996,0,0
3130,0,499
2210,0,1499
995,0,0
7,0,0
3050,0,499
2200,0,1499
994,0,0
3040,0,0
2150,0,0
992,0,0
3030,0,0
2145,0,0
991,0,0
5,0,0
80,0,999
3020,0,999
2130,0,999
990,0,0
3010,0,499
2120,0,0
989,0,0
3000,0,499
2115,0,0
988,0,0
590,0,0
2990,0,999
2114,0,0
987,0,0
2950,0,0
2110,0,0
986,0,0
10,0,999
2930,0,0
2100,0,999
985,0,0
2920,80,379
1930,0,1499
984,0,0
2910,80,379
1920,0,0
983,0,0
2900,80,379
1900,0,999
982,0,0
90,0,0
2870,0,2999
1840,0,0
981,0,0
2860,0,0
1710,0,0
980,0,0
205,0,0
2850,0,499
1700,0,499
979,0,0
2840,0,499
1690,80,399
978,0,0
2827,0,0
1670,80,119
977,0,0
1645,0,0
976,0,0
2826,0,0
2820,0,1599
1640,80,119
975,0,0
2810,0,999
1635,0,0
974,0,0
2800,0,499
1630,80,119
973,0,0
2790,0,0
1620,0,1999
972,0,0
2770,0,0
1610,80,199
971,0,0
2768,0,0
1600,0,1499
970,0,0
2767,0,0
1540,0,0
969,0,0
2760,0,0
1535,0,0
968,0,0
2740,0,0
1532,0,0
967,0,0
2730,0,0
1530,0,1199
966,0,0
2726,0,0
1528,0,0
965,0,0
150,0,0
2725,0,0
1525,0,0
964,0,0
2724,0,0
1523,0,0
963,0,0
2720,0,499
