2025-08-14 01:31:32 | MainProcess | INFO | === START Steam Reviews Crawler (validated proxies) ===
2025-08-14 01:31:33 | MainProcess | INFO | Loaded 260784 games from CSV.
2025-08-14 01:31:33 | MainProcess | INFO | 260784 games remain after applying resume filter.
2025-08-14 01:31:35 | MainProcess | INFO | Fetched 35743 raw proxies from API. Validating against Steam asynchronously...
2025-08-14 01:31:37 | MainProcess | INFO | VALID PROXY [1/5000] http://14.224.76.32:8080 (checked 395/35743)
2025-08-14 01:31:37 | MainProcess | INFO | Proxy validation progress: checked=500/35743 good=1
2025-08-14 01:31:38 | MainProcess | INFO | VALID PROXY [2/5000] http://88.210.38.50:3128 (checked 877/35743)
2025-08-14 01:31:38 | MainProcess | INFO | VALID PROXY [3/5000] http://8.219.97.248:80 (checked 888/35743)
2025-08-14 01:31:38 | MainProcess | INFO | Proxy validation progress: checked=1000/35743 good=3
2025-08-14 01:31:39 | MainProcess | INFO | VALID PROXY [4/5000] http://112.216.83.10:3128 (checked 1060/35743)
2025-08-14 01:31:41 | MainProcess | INFO | Proxy validation progress: checked=1500/35743 good=4
2025-08-14 01:31:41 | MainProcess | INFO | VALID PROXY [5/5000] http://121.101.132.30:8999 (checked 1568/35743)
2025-08-14 01:31:42 | MainProcess | INFO | Proxy validation progress: checked=2000/35743 good=5
2025-08-14 01:31:43 | MainProcess | INFO | Proxy validation progress: checked=2500/35743 good=5
2025-08-14 01:31:44 | MainProcess | INFO | Proxy validation progress: checked=3000/35743 good=5
2025-08-14 01:31:46 | MainProcess | INFO | Proxy validation progress: checked=3500/35743 good=5
2025-08-14 01:31:46 | MainProcess | INFO | VALID PROXY [6/5000] http://103.242.104.178:8080 (checked 3575/35743)
2025-08-14 01:31:47 | MainProcess | INFO | Proxy validation progress: checked=4000/35743 good=6
2025-08-14 01:31:48 | MainProcess | INFO | Proxy validation progress: checked=4500/35743 good=6
2025-08-14 01:31:50 | MainProcess | INFO | Proxy validation progress: checked=5000/35743 good=6
2025-08-14 01:31:51 | MainProcess | INFO | Proxy validation progress: checked=5500/35743 good=6
2025-08-14 01:31:53 | MainProcess | INFO | Proxy validation progress: checked=6000/35743 good=6
2025-08-14 01:31:55 | MainProcess | INFO | Proxy validation progress: checked=6500/35743 good=6
2025-08-14 01:31:56 | MainProcess | INFO | Proxy validation progress: checked=7000/35743 good=6
2025-08-14 01:31:58 | MainProcess | INFO | Proxy validation progress: checked=7500/35743 good=6
2025-08-14 01:31:59 | MainProcess | INFO | VALID PROXY [7/5000] http://23.237.210.82:80 (checked 7998/35743)
2025-08-14 01:31:59 | MainProcess | INFO | Proxy validation progress: checked=8000/35743 good=7
2025-08-14 01:32:00 | MainProcess | INFO | VALID PROXY [8/5000] http://23.239.111.194:8080 (checked 8007/35743)
2025-08-14 01:32:03 | MainProcess | INFO | Proxy validation progress: checked=8500/35743 good=8
2025-08-14 01:32:07 | MainProcess | INFO | Proxy validation progress: checked=9000/35743 good=8
2025-08-14 01:32:12 | MainProcess | INFO | Proxy validation progress: checked=9500/35743 good=8
2025-08-14 01:32:16 | MainProcess | INFO | Proxy validation progress: checked=10000/35743 good=8
