2025-08-14 01:35:29 | Process-4 | INFO | Worker 2 starting. games=65196 proxies=3
2025-08-14 01:35:32 | Process-4 | INFO | App 1930170: collected 4 reviews.
2025-08-14 01:35:33 | Process-4 | INFO | App 1930300: collected 0 reviews.
2025-08-14 01:35:47 | Process-4 | INFO | App 1930190: collected 0 reviews.
2025-08-14 01:35:47 | Process-4 | INFO | App 1930330: collected 0 reviews.
2025-08-14 01:35:48 | Process-4 | INFO | App 1930130: collected 4 reviews.
2025-08-14 01:35:48 | Process-4 | INFO | App 1930230: collected 23 reviews.
2025-08-14 01:35:48 | Process-4 | INFO | App 1930160: collected 5 reviews.
2025-08-14 01:35:48 | Process-4 | INFO | App 1930140: collected 41 reviews.
2025-08-14 01:35:48 | Process-4 | INFO | App 1930150: collected 2 reviews.
2025-08-14 01:35:49 | Process-4 | INFO | App 1930370: collected 0 reviews.
2025-08-14 01:35:49 | Process-4 | INFO | App 1930340: collected 26 reviews.
2025-08-14 01:35:50 | Process-4 | INFO | App 1930360: collected 2 reviews.
2025-08-14 01:35:50 | Process-4 | INFO | App 1930380: collected 14 reviews.
2025-08-14 01:35:51 | Process-4 | INFO | Timeout -> backoff 1.2s
2025-08-14 01:35:51 | Process-4 | INFO | Timeout -> backoff 1.1s
2025-08-14 01:35:51 | Process-4 | INFO | Timeout -> backoff 1.5s
2025-08-14 01:35:51 | Process-4 | INFO | App 1930450: collected 0 reviews.
2025-08-14 01:35:51 | Process-4 | INFO | App 1930440: collected 100 reviews.
2025-08-14 01:35:53 | Process-4 | INFO | App 1930530: collected 2 reviews.
2025-08-14 01:35:53 | Process-4 | INFO | App 1930540: collected 0 reviews.
2025-08-14 01:35:54 | Process-4 | INFO | Timeout -> backoff 1.6s
2025-08-14 01:35:54 | Process-4 | INFO | App 1930560: collected 0 reviews.
2025-08-14 01:36:09 | Process-4 | INFO | Timeout -> backoff 1.4s
2025-08-14 01:36:09 | Process-4 | INFO | Timeout -> backoff 1.3s
2025-08-14 01:36:09 | Process-4 | INFO | Timeout -> backoff 1.1s
2025-08-14 01:36:09 | Process-4 | INFO | Timeout -> backoff 1.1s
2025-08-14 01:36:12 | Process-4 | INFO | Timeout -> backoff 2.0s
2025-08-14 01:36:13 | Process-4 | INFO | Timeout -> backoff 2.5s
2025-08-14 01:36:13 | Process-4 | INFO | Timeout -> backoff 2.2s
2025-08-14 01:36:13 | Process-4 | INFO | Timeout -> backoff 2.9s
2025-08-14 01:36:15 | Process-4 | INFO | Timeout -> backoff 1.5s
2025-08-14 01:36:16 | Process-4 | INFO | Timeout -> backoff 2.3s
2025-08-14 01:36:31 | Process-4 | INFO | Timeout -> backoff 2.3s
2025-08-14 01:36:31 | Process-4 | INFO | Timeout -> backoff 2.2s
2025-08-14 01:36:31 | Process-4 | INFO | Timeout -> backoff 2.0s
2025-08-14 01:36:31 | Process-4 | INFO | Timeout -> backoff 2.4s
2025-08-14 01:36:35 | Process-4 | INFO | Timeout -> backoff 2.7s
2025-08-14 01:36:36 | Process-4 | INFO | Timeout -> backoff 4.8s
2025-08-14 01:36:36 | Process-4 | INFO | Timeout -> backoff 4.3s
2025-08-14 01:36:36 | Process-4 | INFO | Timeout -> backoff 4.9s
2025-08-14 01:36:37 | Process-4 | INFO | Timeout -> backoff 2.8s
2025-08-14 01:36:39 | Process-4 | INFO | Timeout -> backoff 4.5s
2025-08-14 01:36:54 | Process-4 | INFO | Timeout -> backoff 4.7s
2025-08-14 01:36:54 | Process-4 | INFO | Timeout -> backoff 4.8s
2025-08-14 01:36:54 | Process-4 | INFO | Timeout -> backoff 5.0s
2025-08-14 01:36:54 | Process-4 | INFO | Timeout -> backoff 4.5s
2025-08-14 01:36:58 | Process-4 | INFO | Timeout -> backoff 4.0s
2025-08-14 01:37:00 | Process-4 | INFO | Timeout -> backoff 4.5s
2025-08-14 01:37:01 | Process-4 | INFO | Timeout -> backoff 8.7s
2025-08-14 01:37:01 | Process-4 | INFO | Timeout -> backoff 8.6s
2025-08-14 01:37:01 | Process-4 | INFO | Timeout -> backoff 8.9s
2025-08-14 01:37:04 | Process-4 | INFO | Timeout -> backoff 8.9s
2025-08-14 01:37:19 | Process-4 | INFO | Timeout -> backoff 8.9s
2025-08-14 01:37:19 | Process-4 | INFO | Timeout -> backoff 8.5s
2025-08-14 01:37:19 | Process-4 | INFO | Timeout -> backoff 8.5s
2025-08-14 01:37:20 | Process-4 | INFO | Timeout -> backoff 8.3s
2025-08-14 01:37:23 | Process-4 | INFO | Timeout -> backoff 8.1s
2025-08-14 01:37:25 | Process-4 | INFO | Timeout -> backoff 8.7s
2025-08-14 01:37:30 | Process-4 | INFO | Timeout -> backoff 16.8s
2025-08-14 01:37:30 | Process-4 | INFO | Timeout -> backoff 16.3s
2025-08-14 01:37:30 | Process-4 | INFO | Timeout -> backoff 16.1s
2025-08-14 01:37:33 | Process-4 | INFO | Timeout -> backoff 16.9s
2025-08-14 01:37:48 | Process-4 | INFO | Timeout -> backoff 16.3s
2025-08-14 01:37:48 | Process-4 | INFO | Timeout -> backoff 16.0s
2025-08-14 01:37:48 | Process-4 | INFO | Timeout -> backoff 16.0s
2025-08-14 01:37:49 | Process-4 | INFO | Timeout -> backoff 16.3s
2025-08-14 01:37:52 | Process-4 | INFO | Timeout -> backoff 16.9s
2025-08-14 01:37:54 | Process-4 | INFO | Timeout -> backoff 16.0s
2025-08-14 01:38:07 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:07 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:07 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:10 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:25 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:25 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:25 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:26 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:27 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:28 | Process-4 | INFO | Request exception: 502, message='Tunnel Connection Failed', url=URL('http://23.237.210.82:80') -> backoff 1.8s
2025-08-14 01:38:29 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:30 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:30 | Process-4 | INFO | App 1930180: collected 6 reviews.
2025-08-14 01:38:31 | Process-4 | INFO | Timeout -> backoff 20.0s
2025-08-14 01:38:31 | Process-4 | INFO | App 1930210: collected 0 reviews.
